,Adj Close,Close,High,Low,Open,Volume,CloseSmooth,MA20,MA50,TrendStrength
2024-09-03 13:30:00+00:00,2572.13232421875,2572.13232421875,2589.05224609375,2566.893798828125,2588.486083984375,0.0,2572.13232421875,,,
2024-09-03 14:30:00+00:00,2565.691650390625,2565.691650390625,2571.765380859375,2562.2626953125,2571.765380859375,0.0,2565.691650390625,,,
2024-09-03 15:30:00+00:00,2565.777587890625,2565.777587890625,2565.777587890625,2565.777587890625,2565.777587890625,0.0,2565.777587890625,,,
2024-09-03 16:30:00+00:00,,,,,,,2564.332264293324,,,
2024-09-03 17:30:00+00:00,,,,,,,2562.8869406960225,,,
2024-09-03 18:30:00+00:00,,,,,,,2561.4416170987215,,,
2024-09-03 19:30:00+00:00,,,,,,,2559.9962935014205,,,
2024-09-03 20:30:00+00:00,,,,,,,2558.5509699041195,,,
2024-09-03 21:30:00+00:00,,,,,,,2557.105646306818,,,
2024-09-03 22:30:00+00:00,,,,,,,2555.660322709517,,,
2024-09-03 23:30:00+00:00,,,,,,,2554.214999112216,,,
2024-09-04 00:30:00+00:00,,,,,,,2552.769675514915,,,
2024-09-04 01:30:00+00:00,,,,,,,2551.3243519176135,,,
2024-09-04 02:30:00+00:00,,,,,,,2549.8790283203125,,,
2024-09-04 03:30:00+00:00,,,,,,,2548.4337047230115,,,
2024-09-04 04:30:00+00:00,,,,,,,2546.98838112571,,,
2024-09-04 05:30:00+00:00,,,,,,,2545.543057528409,,,
2024-09-04 06:30:00+00:00,,,,,,,2544.097733931108,,,
2024-09-04 07:30:00+00:00,,,,,,,2542.652410333807,,,
2024-09-04 08:30:00+00:00,,,,,,,2541.2070867365055,2555.0343023126775,,
2024-09-04 09:30:00+00:00,,,,,,,2539.7617631392045,2553.4157742587004,,
2024-09-04 10:30:00+00:00,,,,,,,2538.3164395419035,2552.0470137162642,,
2024-09-04 11:30:00+00:00,,,,,,,2536.8711159446025,2550.6016901189632,,
2024-09-04 12:30:00+00:00,,,,,,,2535.425792347301,2549.1563665216618,,
2024-09-04 13:30:00+00:00,2533.98046875,2533.98046875,2541.593505859375,2525.71826171875,2533.928466796875,0.0,2533.98046875,2547.7110429243608,,
2024-09-04 14:30:00+00:00,2531.320068359375,2531.320068359375,2539.265380859375,2530.5908203125,2532.279541015625,0.0,2531.320068359375,2546.2049654873936,,
2024-09-04 15:30:00+00:00,2531.719970703125,2531.719970703125,2531.719970703125,2531.719970703125,2531.719970703125,0.0,2531.719970703125,2544.791149347479,,
2024-09-04 16:30:00+00:00,,,,,,,2530.999367453835,2543.4135692249647,,
2024-09-04 17:30:00+00:00,,,,,,,2530.2787642045455,2542.072225119851,,
2024-09-04 18:30:00+00:00,,,,,,,2529.5581609552555,2540.7671170321382,,
2024-09-04 19:30:00+00:00,,,,,,,2528.837557705966,2539.498244961825,,
2024-09-04 20:30:00+00:00,,,,,,,2528.116954456676,2538.2656089089132,,
2024-09-04 21:30:00+00:00,,,,,,,2527.3963512073865,2537.069208873402,,
2024-09-04 22:30:00+00:00,,,,,,,2526.6757479580965,2535.909044855291,,
2024-09-04 23:30:00+00:00,,,,,,,2525.955144708807,2534.785116854581,,
2024-09-05 00:30:00+00:00,,,,,,,2525.234541459517,2533.6974248712713,,
2024-09-05 01:30:00+00:00,,,,,,,2524.5139382102275,2532.645968905362,,
2024-09-05 02:30:00+00:00,,,,,,,2523.7933349609375,2531.630748956854,,
2024-09-05 03:30:00+00:00,,,,,,,2523.0727317116475,2530.6517650257456,,
2024-09-05 04:30:00+00:00,,,,,,,2522.352128462358,2529.7090171120385,,
2024-09-05 05:30:00+00:00,,,,,,,2521.631525213068,2528.802505215732,,
2024-09-05 06:30:00+00:00,,,,,,,2520.9109219637785,2527.932229336825,,
2024-09-05 07:30:00+00:00,,,,,,,2520.1903187144885,2527.0981894753195,,
2024-09-05 08:30:00+00:00,,,,,,,2519.469715465199,2526.3003856312143,,
2024-09-05 09:30:00+00:00,,,,,,,2518.749112215909,2525.5388178045096,,
2024-09-05 10:30:00+00:00,,,,,,,2518.0285089666195,2524.8742398348722,,
2024-09-05 11:30:00+00:00,,,,,,,2517.3079057173295,2524.1536365855823,,
2024-09-05 12:30:00+00:00,,,,,,,2516.58730246804,2523.4330333362927,,
2024-09-05 13:30:00+00:00,2515.86669921875,2515.86669921875,2521.623291015625,2507.65380859375,2512.320556640625,0.0,2515.86669921875,2522.7124300870028,,
2024-09-05 14:30:00+00:00,2510.0146484375,2510.0146484375,2517.65625,2509.361083984375,2515.961181640625,0.0,2510.0146484375,2521.7352544611153,2537.4724609375,-0.6201922077440072
2024-09-05 15:30:00+00:00,2509.30419921875,2509.30419921875,2509.30419921875,2509.30419921875,2509.30419921875,0.0,2509.30419921875,2520.758586536754,2536.2158984375,-0.6094635677612779
2024-09-05 16:30:00+00:00,,,,,,,2508.453702059659,2519.7754239169035,2535.0711394708806,-0.6033643520224675
2024-09-05 17:30:00+00:00,,,,,,,2507.603204900568,2518.7857666015625,2533.9076518110796,-0.5967812283414886
2024-09-05 18:30:00+00:00,,,,,,,2506.7527077414775,2517.7896145907316,2532.7560606800425,-0.5909154190432554
2024-09-05 19:30:00+00:00,,,,,,,2505.9022105823865,2516.7869678844104,2531.6163660777697,-0.585767985705295
2024-09-05 20:30:00+00:00,,,,,,,2505.0517134232955,2515.7778264825997,2530.488568004261,-0.5813399715638116
2024-09-05 21:30:00+00:00,,,,,,,2504.2012162642045,2514.7621903852983,2529.372666459517,-0.5776324014234594
2024-09-05 22:30:00+00:00,,,,,,,2503.3507191051135,2513.7400595925074,2528.268661443537,-0.5746462815678142
2024-09-05 23:30:00+00:00,,,,,,,2502.5002219460225,2512.711434104226,2527.176552956321,-0.5723825996712925
2024-09-06 00:30:00+00:00,,,,,,,2501.649724786932,2511.676313920455,2526.0963409978694,-0.5708423247119002
2024-09-06 01:30:00+00:00,,,,,,,2500.799227627841,2510.6346990411935,2525.028025568182,-0.5700264068851124
2024-09-06 02:30:00+00:00,,,,,,,2499.94873046875,2509.5865894664416,2523.9716066672586,-0.5699357775189647
2024-09-06 03:30:00+00:00,,,,,,,2499.098233309659,2508.5319851962004,2522.9270842950996,-0.5705713489901024
