,Adj Close,Close,High,Low,Open,Volume,CloseSmooth,MA20,MA50,TrendStrength
2026-07-01 13:30:00+00:00,3177.92919921875,3177.92919921875,3183.70556640625,3172.194580078125,3179.43017578125,0.0,3177.92919921875,,,
2026-07-01 13:45:00+00:00,3184.634521484375,3184.634521484375,3184.634521484375,3176.2880859375,3177.4560546875,0.0,3184.634521484375,,,
2026-07-01 14:00:00+00:00,3177.154296875,3177.154296875,3183.0673828125,3177.01318359375,3182.480712890625,0.0,3177.154296875,,,
2026-07-01 14:15:00+00:00,3178.147705078125,3178.147705078125,3180.271484375,3175.623291015625,3177.230712890625,0.0,3178.147705078125,,,
2026-07-01 14:30:00+00:00,3172.1328125,3172.1328125,3178.291015625,3171.758056640625,3178.111083984375,0.0,3172.1328125,,,
2026-07-01 14:45:00+00:00,3174.638671875,3174.638671875,3175.30126953125,3169.06689453125,3172.023681640625,0.0,3174.638671875,,,
2026-07-01 15:00:00+00:00,3176.841552734375,3176.841552734375,3178.1708984375,3174.5966796875,3174.5966796875,0.0,3176.841552734375,,,
2026-07-01 15:15:00+00:00,3184.719482421875,3184.719482421875,3184.719482421875,3176.688232421875,3177.20361328125,0.0,3184.719482421875,,,
2026-07-01 15:30:00+00:00,3184.9091796875,3184.9091796875,3184.9091796875,3184.9091796875,3184.9091796875,0.0,3184.9091796875,,,
2026-07-01 15:45:00+00:00,,,,,,,3185.328233198686,,,
2026-07-01 16:00:00+00:00,,,,,,,3185.7472867098722,,,
2026-07-01 16:15:00+00:00,,,,,,,3186.1663402210584,,,
2026-07-01 16:30:00+00:00,,,,,,,3186.5853937322445,,,
2026-07-01 16:45:00+00:00,,,,,,,3187.0044472434306,,,
2026-07-01 17:00:00+00:00,,,,,,,3187.4235007546163,,,
2026-07-01 17:15:00+00:00,,,,,,,3187.8425542658024,,,
2026-07-01 17:30:00+00:00,,,,,,,3188.2616077769885,,,
2026-07-01 17:45:00+00:00,,,,,,,3188.6806612881746,,,
2026-07-01 18:00:00+00:00,,,,,,,3189.0997147993608,,,
2026-07-01 18:15:00+00:00,,,,,,,3189.518768310547,3183.638296508789,,
2026-07-01 18:30:00+00:00,,,,,,,3189.937821821733,3184.238727638938,,
2026-07-01 18:45:00+00:00,,,,,,,3190.356875332919,3184.5248453313657,,
2026-07-01 19:00:00+00:00,,,,,,,3190.7759288441052,3185.2059269298206,,
2026-07-01 19:15:00+00:00,,,,,,,3191.1949823552914,3185.858290793679,,
2026-07-01 19:30:00+00:00,,,,,,,3191.6140358664775,3186.832351962003,,
2026-07-01 19:45:00+00:00,,,,,,,3192.033089377663,3187.7020728371363,,
2026-07-01 20:00:00+00:00,,,,,,,3192.4521428888493,3188.4826023448595,,
2026-07-01 20:15:00+00:00,,,,,,,3192.8711964000354,3188.890188043768,,
2026-07-01 20:30:00+00:00,,,,,,,3193.2902499112215,3189.3092415549536,,
2026-07-01 20:45:00+00:00,,,,,,,3193.7093034224076,3189.72829506614,,
2026-07-01 21:00:00+00:00,,,,,,,3194.1283569335938,3190.147348577326,,
2026-07-01 21:15:00+00:00,,,,,,,3194.54741044478,3190.566402088512,,
2026-07-01 21:30:00+00:00,,,,,,,3194.966463955966,3190.985455599698,,
2026-07-01 21:45:00+00:00,,,,,,,3195.385517467152,3191.404509110884,,
2026-07-01 22:00:00+00:00,,,,,,,3195.8045709783382,3191.8235626220703,,
2026-07-01 22:15:00+00:00,,,,,,,3196.2236244895244,3192.2426161332564,,
2026-07-01 22:30:00+00:00,,,,,,,3196.64267800071,3192.6616696444426,,
2026-07-01 22:45:00+00:00,,,,,,,3197.061731511896,3193.0807231556287,,
2026-07-01 23:00:00+00:00,,,,,,,3197.4807850230823,3193.499776666815,,
