,OMXS30 vs olja,OMXS30 vs ränta
2024-09-17,0.6416622934625297,0.6889840320799874
2024-09-18,0.6052390991121236,0.3275388337620914
2024-09-19,0.651140002618404,0.47412415761312476
2024-09-20,0.563942257646219,0.4500369004315578
2024-09-23,0.5560568751326702,0.5342935803422133
2024-09-24,0.39820298089875866,0.4141511271350112
2024-09-25,0.31449041490496965,0.4486899750807017
2024-09-26,0.039734352260868036,0.4058955079340827
2024-09-27,0.015482213793669635,0.5250137922896275
2024-09-30,0.07001070085383339,0.30956750027751906
2024-10-01,-0.1942832324545685,0.4347271890338432
2024-10-02,-0.20311887215805174,0.545271852275548
2024-10-03,-0.7620003381198318,0.07029813670800429
2024-10-04,-0.8324568050115,0.10612816414884704
2024-10-07,-0.793823235037718,0.10347177226312596
2024-10-08,-0.4606371114558745,0.15970004128544626
2024-10-09,-0.4016973434024427,0.13518293028571934
2024-10-10,-0.3155338739755522,0.2884510444215109
2024-10-11,-0.35349223657952633,0.13065608810994042
2024-10-14,-0.45275780466714016,0.14550752204887937
2024-10-15,-0.15894536334193138,0.2184373752540527
2024-10-16,-0.1760239507174585,0.14243449968820715
2024-10-17,0.14019054488414393,0.37633509154951444
2024-10-18,0.06930578741503968,0.18730085112150488
2024-10-21,-0.058920413863930994,-0.10241403773483201
2024-10-22,-0.2787221125516864,-0.12804281908575746
2024-10-23,-0.3019064199342923,-0.11104462090390788
2024-10-24,-0.013445629689973107,-0.041672047747927356
2024-10-25,0.15203626603500725,0.09246237600654678
2024-10-28,-0.31596440239834794,0.17858628549930403
2024-10-29,-0.656816803415258,-0.0319279001218777
2024-10-30,-0.6778676734390444,0.12587601010587693
2024-10-31,-0.6527325661788511,0.07772221821622516
2024-11-01,-0.6101135724542159,0.26318093226487954
2024-11-04,-0.4512860986996626,0.3081063166917517
2024-11-05,-0.4472393193973778,0.29884545547759933
2024-11-06,-0.37626282384630805,-0.028510830859347417
2024-11-07,-0.2926367009275878,-0.2650037075140903
2024-11-08,-0.24607486385110752,-0.19800465335926967
2024-11-11,0.03445170580915277,-0.32789434850734406
2024-11-12,0.022398097647029276,-0.5421306432167698
2024-11-13,0.14369719705161696,-0.5948905702327967
2024-11-14,0.2467937602189419,-0.656648800300348
2024-11-15,0.30838357100252833,-0.7504740302412845
2024-11-18,0.1838679852478889,-0.731574954945581
2024-11-19,0.16431976542720325,-0.6917835959134612
2024-11-20,0.15200155104770438,-0.7631039930827269
2024-11-21,0.1521521301530272,-0.6019999907660013
2024-11-22,0.12443063762997343,-0.7629549096586047
2024-11-25,0.278077765134344,-0.5834836998111657
2024-11-26,0.46071443739856166,-0.19077102613668667
2024-11-27,0.45920206187643714,-0.2100019353641925
2024-11-29,0.4502966922360727,-0.286068060843248
2024-12-02,-0.011726131586885758,0.020085887515800132
2024-12-03,0.28899290366364094,0.13157336738928313
2024-12-04,0.21004399970361687,0.06709772472647975
2024-12-05,0.17968499512275565,0.2076241245459749
2024-12-06,0.21369665699388626,0.2182162397723371
2024-12-09,0.0873331660646714,0.12637292165270922
2024-12-10,-0.09757248725056211,-0.23317225614353013
2024-12-11,-0.2648957937805823,-0.2110938265140569
2024-12-12,-0.21967863890492692,-0.43703596615716384
2024-12-13,-0.3133683864898561,-0.5376086670818644
2024-12-16,-0.046151124753987055,-0.5407084887002336
2024-12-17,-0.4118790337125095,-0.609651342007984
2024-12-18,-0.14669253107244828,-0.11824845441649517
2024-12-19,0.16913874287429054,-0.2422466799137759
2024-12-20,0.4073015248041094,-0.1223941555079227
2024-12-23,0.25577181946981853,-0.09961449809812006
2024-12-27,0.495895429436558,-0.18032765873449424
2024-12-30,0.5344966039744101,-0.18395025205238377
2025-01-02,0.6554722270856663,-0.13722315781905495
2025-01-03,0.7732799215096116,-0.09085621454062293
2025-01-07,0.7407232846534186,0.0644867897534928
2025-01-08,0.6761998715658624,0.03188118670974998
2025-01-10,0.23291029624526155,-0.07093234047080486
2025-01-13,-0.037842863781515974,0.2504318358849543
2025-01-14,-0.09285891673280412,0.15772292543679503
2025-01-15,0.06416667018806076,-0.3511516641937491
2025-01-16,0.003700786210071095,-0.3798291822301507
2025-01-17,-0.105163920486557,-0.5250415650895516
2025-01-21,-0.19513264792706383,-0.579497933674406
