serie,roll,tid,kategori,innehall,varde
pabörjade,namnare,2017-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2699
pabörjade,namnare,2017-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,3418
pabörjade,namnare,2018-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2845
pabörjade,namnare,2018-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,3265
pabörjade,namnare,2018-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2385
pabörjade,namnare,2018-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2495
pabörjade,namnare,2019-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2472
pabörjade,namnare,2019-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2996
pabörjade,namnare,2019-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2500
pabörjade,namnare,2019-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2819
pabörjade,namnare,2020-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2782
pabörjade,namnare,2020-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2797
pabörjade,namnare,2020-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2385
pabörjade,namnare,2020-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,3112
pabörjade,namnare,2021-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,3311
pabörjade,namnare,2021-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,3791
pabörjade,namnare,2021-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,3289
pabörjade,namnare,2021-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,3544
pabörjade,namnare,2022-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,3417
pabörjade,namnare,2022-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,4039
pabörjade,namnare,2022-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2534
pabörjade,namnare,2022-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,2509
pabörjade,namnare,2023-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1856
pabörjade,namnare,2023-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1757
pabörjade,namnare,2023-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1343
pabörjade,namnare,2023-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1371
pabörjade,namnare,2024-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1280
pabörjade,namnare,2024-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1419
pabörjade,namnare,2024-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1404
pabörjade,namnare,2024-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1451
pabörjade,namnare,2025-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1437
pabörjade,namnare,2025-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1811
pabörjade,namnare,2025-07,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1197
pabörjade,namnare,2025-10,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1465
pabörjade,namnare,2026-01,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1109
pabörjade,namnare,2026-04,Riket | småhus,Påbörjade lägenheter i nybyggda hus,1337
