serie,roll,tid,kategori,innehall,varde
emitterat,kredit,2019-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1362088
emitterat,kredit,2019-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1348040
emitterat,kredit,2019-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1355153
emitterat,kredit,2019-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1365237
emitterat,kredit,2019-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1361080
emitterat,kredit,2020-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1396355
emitterat,kredit,2020-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1422962
emitterat,kredit,2020-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1421393
emitterat,kredit,2020-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1405029
emitterat,kredit,2020-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1386379
emitterat,kredit,2020-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1390109
emitterat,kredit,2020-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1388260
emitterat,kredit,2020-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1389839
emitterat,kredit,2020-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1406617
emitterat,kredit,2020-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1419865
emitterat,kredit,2020-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1422414
emitterat,kredit,2020-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1409079
emitterat,kredit,2021-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1419539
emitterat,kredit,2021-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1456728
emitterat,kredit,2021-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1445476
emitterat,kredit,2021-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1444109
emitterat,kredit,2021-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1445886
emitterat,kredit,2021-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1471555
emitterat,kredit,2021-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1474482
emitterat,kredit,2021-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1476012
emitterat,kredit,2021-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1497628
emitterat,kredit,2021-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1495472
emitterat,kredit,2021-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1524648
emitterat,kredit,2021-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1548218
emitterat,kredit,2022-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1564996
emitterat,kredit,2022-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1590031
emitterat,kredit,2022-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1545441
emitterat,kredit,2022-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1561369
emitterat,kredit,2022-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1581580
emitterat,kredit,2022-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1585648
emitterat,kredit,2022-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1550503
emitterat,kredit,2022-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1566213
emitterat,kredit,2022-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1599797
emitterat,kredit,2022-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1635054
emitterat,kredit,2022-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1644604
emitterat,kredit,2022-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1641516
emitterat,kredit,2023-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1650642
emitterat,kredit,2023-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1612243
emitterat,kredit,2023-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1603880
emitterat,kredit,2023-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1602662
emitterat,kredit,2023-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1641086
emitterat,kredit,2023-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1628353
emitterat,kredit,2023-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1608647
emitterat,kredit,2023-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1626625
emitterat,kredit,2023-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1605168
emitterat,kredit,2023-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1609996
emitterat,kredit,2023-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1577321
emitterat,kredit,2023-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1559089
emitterat,kredit,2024-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1562793
emitterat,kredit,2024-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1549902
emitterat,kredit,2024-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1539828
emitterat,kredit,2024-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1537436
emitterat,kredit,2024-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1537186
emitterat,kredit,2024-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1519360
emitterat,kredit,2024-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1529187
emitterat,kredit,2024-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1507234
emitterat,kredit,2024-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1505394
emitterat,kredit,2024-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1523598
emitterat,kredit,2024-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1511785
emitterat,kredit,2024-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1526378
emitterat,kredit,2025-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1528964
emitterat,kredit,2025-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1507280
emitterat,kredit,2025-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1460796
emitterat,kredit,2025-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1465863
emitterat,kredit,2025-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1482625
emitterat,kredit,2025-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1514756
emitterat,kredit,2025-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1530423
emitterat,kredit,2025-08,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1530169
emitterat,kredit,2025-09,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1535063
emitterat,kredit,2025-10,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1506791
emitterat,kredit,2025-11,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1500345
emitterat,kredit,2025-12,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1467569
emitterat,kredit,2026-01,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1452847
emitterat,kredit,2026-02,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1467998
emitterat,kredit,2026-03,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1489303
emitterat,kredit,2026-04,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1493358
emitterat,kredit,2026-05,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1516679
emitterat,kredit,2026-06,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1536477
emitterat,kredit,2026-07,Icke-finansiell,"Utestående nominellt emitterat belopp vid utgången av månaden, mnkr",1540627
