serie,roll,tid,kategori,innehall,varde
hushall_bolan,kredit,2020-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1160370
hushall_bolan,kredit,2020-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1168393
hushall_bolan,kredit,2020-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1175529
hushall_bolan,kredit,2020-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1182197
hushall_bolan,kredit,2020-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1189860
hushall_bolan,kredit,2020-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1194272
hushall_bolan,kredit,2020-08,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1198722
hushall_bolan,kredit,2020-09,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1205279
hushall_bolan,kredit,2020-10,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1212350
hushall_bolan,kredit,2020-11,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1219706
hushall_bolan,kredit,2020-12,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1228658
hushall_bolan,kredit,2021-01,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1234771
hushall_bolan,kredit,2021-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1240943
hushall_bolan,kredit,2021-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1248592
hushall_bolan,kredit,2021-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1255469
hushall_bolan,kredit,2021-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1263068
hushall_bolan,kredit,2021-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1274462
hushall_bolan,kredit,2021-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1280276
hushall_bolan,kredit,2021-08,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1287908
hushall_bolan,kredit,2021-09,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1296847
hushall_bolan,kredit,2021-10,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1304999
hushall_bolan,kredit,2021-11,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1313039
hushall_bolan,kredit,2021-12,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1322635
hushall_bolan,kredit,2022-01,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1328110
hushall_bolan,kredit,2022-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1334412
