manad,annonser_bygg,annonser_alla,stat_5y,byggaktier
2014-11-01,,,0.176,100.0
2014-12-01,,,0.1713157894736842,105.42251922163544
2015-01-01,,,0.31425000000000003,113.98865253913122
2015-02-01,,,0.1166,128.78657769491622
2015-03-01,,,0.13813636363636364,129.35526299439204
2015-04-01,,,-0.009600000000000001,131.77573397811818
2015-05-01,,,0.24057894736842103,121.63976240240719
2015-06-01,,,0.39661904761904765,116.37829731073133
2015-07-01,,,0.162,118.11394854429757
2015-08-01,,,0.048,116.3667191147786
2015-09-01,,,0.047363636363636365,112.16481878085338
2015-10-01,,,0.038,116.09112557637032
2015-11-01,,,0.12133333333333333,122.78801972550777
2015-12-01,,,0.22444999999999998,125.07290313231663
2016-01-01,1915.0,53039.0,0.0798421052631579,118.64141203993475
2016-02-01,2666.0,62328.0,-0.11542857142857142,121.8524717857227
2016-03-01,2685.0,66447.0,-0.09404761904761905,129.23193166285088
2016-04-01,2852.0,68260.0,-0.10380952380952382,130.10086476854593
2016-05-01,2895.0,71644.0,-0.16585714285714287,131.73228403161104
2016-06-01,2491.0,60046.0,-0.3476,128.5153208260109
2016-07-01,1776.0,40483.0,-0.4809523809523809,132.93153279748623
2016-08-01,2284.0,56995.0,-0.5256086956521739,135.94612574993255
2016-09-01,2283.0,58982.0,-0.2918181818181818,140.60692244910905
2016-10-01,2410.0,62004.0,-0.31752380952380954,144.98707113953898
2016-11-01,2095.0,60787.0,-0.2043636363636364,146.25365097571915
2016-12-01,1799.0,52284.0,-0.08804761904761904,151.0003751381749
2017-01-01,2144.0,63008.0,-0.017285714285714286,153.5149959950212
2017-02-01,2187.0,64108.0,-0.0028499999999999984,159.6672448800931
2017-03-01,2431.0,73413.0,0.02365217391304348,160.47400021258585
2017-04-01,1979.0,63033.0,-0.08027777777777778,169.05885699808212
2017-05-01,2450.0,74862.0,-0.08471428571428571,181.55405823855088
2017-06-01,2069.0,59853.0,-0.15905,181.79669839904312
2017-07-01,1402.0,41730.0,-0.03204761904761905,174.05049522334534
2017-08-01,2103.0,60519.0,-0.02339130434782609,166.2970034899368
2017-09-01,1971.0,59515.0,-0.03438095238095238,157.49371750789493
2017-10-01,2092.0,62411.0,-0.0385,152.21178061004014
2017-11-01,1858.0,61511.0,-0.1950909090909091,144.06281428184693
2017-12-01,1743.0,52996.0,-0.05305263157894737,138.46843482507472
2018-01-01,1904.0,60139.0,0.24018181818181816,137.54393119641534
2018-02-01,1813.0,58680.0,0.29765,135.87854380902067
2018-03-01,2039.0,65051.0,0.16804761904761906,136.7965871956016
2018-04-01,2007.0,63893.0,0.10075,138.97039570983983
2018-05-01,2207.0,68323.0,0.051333333333333335,144.12653019630818
2018-06-01,1753.0,54365.0,-0.05168421052631579,141.5550310565586
2018-07-01,1195.0,40567.0,-0.0595,138.61858343560704
2018-08-01,1741.0,55872.0,-0.04578260869565217,146.65712780080938
2018-09-01,1854.0,54502.0,0.06275,156.11507581212064
2018-10-01,1917.0,62260.0,0.13443478260869565,144.6872392816121
2018-11-01,1614.0,56839.0,0.06513636363636365,140.33143897606905
2018-12-01,1460.0,47955.0,-0.01635294117647059,137.97056616754745
2019-01-01,1737.0,60497.0,-0.04581818181818182,147.23996945008474
2019-02-01,1841.0,57342.0,-0.10825,151.96343410115682
2019-03-01,2068.0,63966.0,-0.14823809523809522,156.68599321633357
2019-04-01,1977.0,63472.0,-0.23090000000000002,167.1701683805614
2019-05-01,2017.0,63340.0,-0.39161904761904764,165.29285728926365
2019-06-01,1546.0,47491.0,-0.512,171.54746090735696
2019-07-01,1218.0,37632.0,-0.5003043478260869,181.5511124547969
2019-08-01,1636.0,48133.0,-0.6698181818181819,174.42105566323644
2019-09-01,1623.0,49392.0,-0.594,182.64798741696933
2019-10-01,1776.0,57278.0,-0.5115652173913043,189.7937090086911
2019-11-01,1486.0,50715.0,-0.32585714285714285,188.94053819457162
2019-12-01,1486.0,47430.0,-0.21516666666666664,195.3977778008041
2020-01-01,1900.0,55649.0,-0.17576190476190476,203.62680033111786
2020-02-01,2040.0,57255.0,-0.28464999999999996,214.40998797015055
2020-03-01,1818.0,50654.0,-0.38309090909090915,154.2204728434831
2020-04-01,1455.0,36578.0,-0.27349999999999997,147.20330082322073
2020-05-01,1259.0,35309.0,-0.2788947368421053,156.78953562869086
2020-06-01,1372.0,34953.0,-0.24309523809523811,173.10068189470587
2020-07-01,1028.0,23954.0,-0.3018695652173913,186.1627051536595
2020-08-01,1260.0,31325.0,-0.2663809523809524,194.35392127054558
2020-09-01,1666.0,40652.0,-0.32013636363636366,206.40871515817366
2020-10-01,1676.0,43548.0,-0.3383086363636364,210.88069050972527
2020-11-01,1579.0,44013.0,-0.3363528571428572,215.28300216569218
2020-12-01,1550.0,39929.0,-0.32524000000000003,223.95937219993854
2021-01-01,1533.0,40111.0,-0.18751894736842106,236.63964091967995
2021-02-01,1665.0,48464.0,-0.082169,242.17288106124855
2021-03-01,2247.0,62671.0,0.02199217391304348,258.87078798076556
2021-04-01,2481.0,64794.0,-0.010983,279.0288166624633
2021-05-01,2507.0,64501.0,0.030057499999999997,279.6467074085077
2021-06-01,2291.0,58677.0,-0.011885238095238096,279.6831287312254
2021-07-01,1602.0,39689.0,-0.12442363636363636,283.12395958071437
2021-08-01,2026.0,52760.0,-0.1574127272727273,289.857354965416
2021-09-01,2733.0,72620.0,-0.037064545454545454,275.6704741656496
2021-10-01,2831.0,73854.0,0.056229047619047616,271.6803937677017
2021-11-01,2835.0,79000.0,0.054129090909090904,289.09428894515605
