"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","män","P utbildningsväsendet","totalt",141616,141372,141172,140369,141947,141623,141381,141197,140398,142002
"00 Riket","män","P utbildningsväsendet","inrikes född",109120,108556,108325,107452,108706,109124,108563,108342,107473,108737
"00 Riket","män","P utbildningsväsendet","utrikes född",32498,32813,32848,32917,33244,32498,32813,32855,32927,33261
"00 Riket","män","Q enheter för vård och omsorg, socialtjänst","totalt",171665,176319,178490,182757,194589,171678,176319,178494,182757,194589
"00 Riket","män","Q enheter för vård och omsorg, socialtjänst","inrikes född",113694,114039,112956,113650,120847,113701,114040,112961,113650,120851
"00 Riket","män","Q enheter för vård och omsorg, socialtjänst","utrikes född",57973,62277,65534,69106,73745,57978,62282,65534,69106,73746
"00 Riket","män","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","totalt",91433,94847,97341,98184,97953,91510,94902,97389,98229,97991
"00 Riket","män","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","inrikes född",73622,75919,77664,77919,77891,73683,75964,77706,77956,77922
"00 Riket","män","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","utrikes född",17813,18927,19679,20269,20062,17826,18934,19685,20275,20067
"00 Riket","män","US uppgift saknas","totalt",33357,32636,32488,34028,5782,49454,47252,49102,52085,26697
"00 Riket","män","US uppgift saknas","inrikes född",25616,25173,25582,26732,4148,34552,32866,34739,36577,15431
"00 Riket","män","US uppgift saknas","utrikes född",7739,7464,6906,7295,1634,14901,14387,14369,15509,11264
"00 Riket","kvinnor","A-U+US Total","totalt",2401075,2470392,2531618,2555063,2551783,2409321,2478506,2540739,2564806,2563462
"00 Riket","kvinnor","A-U+US Total","inrikes född",1930686,1967148,1992437,1996819,1983679,1934969,1971295,1997200,2001830,1989641
"00 Riket","kvinnor","A-U+US Total","utrikes född",470391,503237,539180,558241,568100,474350,507206,543541,562975,573818
"00 Riket","kvinnor","A företag inom jordbruk, skogsbruk och fiske","totalt",24797,24425,24527,24287,24896,24797,24425,24527,24287,24896
"00 Riket","kvinnor","A företag inom jordbruk, skogsbruk och fiske","inrikes född",22684,22266,22292,22043,22365,22684,22266,22292,22043,22365
"00 Riket","kvinnor","A företag inom jordbruk, skogsbruk och fiske","utrikes född",2114,2156,2234,2245,2534,2114,2156,2234,2245,2534
