"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"18 Örebro län","J information och kommunikation","kvinnor",728,667,644,640,714,719,738,716,779,752,799
"18 Örebro län","K finans- och försäkringsverksamhet","män",548,545,525,507,521,535,577,587,562,504,481
"18 Örebro län","K finans- och försäkringsverksamhet","kvinnor",644,618,606,594,614,606,616,608,579,522,511
"18 Örebro län","L fastighetsverksamhet","män",1271,1293,1331,1377,1301,1326,1357,1389,1435,1432,1481
"18 Örebro län","L fastighetsverksamhet","kvinnor",652,674,715,726,717,754,766,811,867,888,932
"18 Örebro län","M+N företagstjänster","män",5925,5490,5992,6335,6361,6223,6387,6647,6627,7089,7480
"18 Örebro län","M+N företagstjänster","kvinnor",5546,5096,5551,5607,5578,5299,5260,5379,5387,5482,5540
"18 Örebro län","O offentlig förvaltning och försvar","män",3199,3288,3285,3373,3501,3695,3669,3734,3983,4131,4228
"18 Örebro län","O offentlig förvaltning och försvar","kvinnor",4396,4497,4630,4723,4788,5023,5174,5286,5569,5825,5999
"18 Örebro län","P utbildning ","män",3663,3526,3605,3638,3643,3771,3745,3865,4047,4193,4297
"18 Örebro län","P utbildning ","kvinnor",10405,10302,10296,10162,10443,10510,10481,10804,11287,11684,11958
"18 Örebro län","Q vård och omsorg; sociala tjänster","män",3765,3817,3916,3984,4074,4229,4469,4726,4988,5076,5082
"18 Örebro län","Q vård och omsorg; sociala tjänster","kvinnor",19584,19192,19304,19309,19729,19953,20409,21252,21311,21528,21432
"18 Örebro län","R+S+T+U kulturella och personliga tjänster m.m.","män",2198,2157,2225,2247,2285,2361,2393,2400,2473,2490,2511
"18 Örebro län","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",2776,2752,2859,2846,2943,3110,2991,2998,3145,3088,3184
"18 Örebro län","00 okänd verksamhet","män",524,549,541,623,612,688,676,601,608,625,608
"18 Örebro län","00 okänd verksamhet","kvinnor",639,717,709,826,845,907,915,776,758,839,744
"1814 Lekeberg","A jordbruk, skogsbruk och fiske","män",154,151,173,206,203,208,187,185,181,179,159
"1814 Lekeberg","A jordbruk, skogsbruk och fiske","kvinnor",29,25,25,37,36,35,42,41,40,40,33
"1814 Lekeberg","B+C tillverkning och utvinning","män",177,150,157,158,166,172,162,157,155,159,118
"1814 Lekeberg","B+C tillverkning och utvinning","kvinnor",26,26,26,28,31,36,35,32,32,30,29
"1814 Lekeberg","D+E energiförsörjning; miljöverksamhet","män",11,13,11,13,15,14,13,14,15,16,16
"1814 Lekeberg","D+E energiförsörjning; miljöverksamhet","kvinnor",2,3,3,2,3,3,4,3,5,3,6
"1814 Lekeberg","F byggverksamhet","män",196,195,214,238,231,215,196,208,251,263,275
"1814 Lekeberg","F byggverksamhet","kvinnor",11,16,13,15,16,15,17,18,18,22,29
"1814 Lekeberg","G handel","män",61,65,64,72,69,76,64,69,61,74,75
"1814 Lekeberg","G handel","kvinnor",81,69,82,86,84,87,75,72,80,78,80
"1814 Lekeberg","H transport och magasinering","män",93,86,97,111,121,115,121,127,128,134,134
"1814 Lekeberg","H transport och magasinering","kvinnor",15,18,15,18,24,19,21,19,23,15,26
"1814 Lekeberg","I hotell- och restaurangverksamhet","män",6,10,8,15,11,9,9,19,14,23,20
"1814 Lekeberg","I hotell- och restaurangverksamhet","kvinnor",8,10,16,18,27,27,23,47,36,34,45
"1814 Lekeberg","J information och kommunikation","män",10,9,11,9,10,6,5,5,6,9,6
"1814 Lekeberg","J information och kommunikation","kvinnor",4,4,2,6,4,5,3,2,3,4,2
"1814 Lekeberg","K finans- och försäkringsverksamhet","män",7,8,9,10,11,12,10,14,13,10,12
"1814 Lekeberg","K finans- och försäkringsverksamhet","kvinnor",16,17,15,15,16,16,16,15,18,20,21
"1814 Lekeberg","L fastighetsverksamhet","män",15,17,16,16,20,24,23,18,13,13,47
"1814 Lekeberg","L fastighetsverksamhet","kvinnor",12,10,9,12,14,12,13,12,15,12,14
"1814 Lekeberg","M+N företagstjänster","män",36,29,36,36,35,35,52,43,43,52,64
"1814 Lekeberg","M+N företagstjänster","kvinnor",26,28,39,30,27,24,32,38,31,33,39
"1814 Lekeberg","O offentlig förvaltning och försvar","män",14,11,10,15,20,26,35,32,34,32,40
"1814 Lekeberg","O offentlig förvaltning och försvar","kvinnor",59,45,42,41,44,43,45,68,62,68,73
"1814 Lekeberg","P utbildning ","män",63,57,56,41,36,44,43,41,52,70,76
"1814 Lekeberg","P utbildning ","kvinnor",223,232,244,233,214,234,232,225,245,257,262
"1814 Lekeberg","Q vård och omsorg; sociala tjänster","män",58,48,54,60,78,83,86,99,100,97,101
"1814 Lekeberg","Q vård och omsorg; sociala tjänster","kvinnor",312,307,311,341,385,399,416,426,420,425,436
"1814 Lekeberg","R+S+T+U kulturella och personliga tjänster m.m.","män",48,48,35,38,38,38,40,36,41,40,41
"1814 Lekeberg","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",49,51,49,54,62,63,53,50,53,54,51
"1814 Lekeberg","00 okänd verksamhet","män",25,18,16,21,21,18,22,22,19,18,11
"1814 Lekeberg","00 okänd verksamhet","kvinnor",49,38,37,49,43,41,40,36,31,41,39
"1860 Laxå","A jordbruk, skogsbruk och fiske","män",61,63,75,99,99,102,100,94,95,90,91
"1860 Laxå","A jordbruk, skogsbruk och fiske","kvinnor",10,10,15,19,22,25,23,21,18,26,28
"1860 Laxå","B+C tillverkning och utvinning","män",1039,908,913,853,800,688,631,615,652,646,701
"1860 Laxå","B+C tillverkning och utvinning","kvinnor",306,272,288,296,261,183,156,155,149,143,159
"1860 Laxå","D+E energiförsörjning; miljöverksamhet","män",21,15,13,13,13,11,13,14,13,14,14
"1860 Laxå","D+E energiförsörjning; miljöverksamhet","kvinnor",2,1,3,3,4,3,4,3,5,4,3
"1860 Laxå","F byggverksamhet","män",109,108,107,102,98,100,107,96,108,103,109
