"region","näringsgren SNI 2007","Fasta bruttoinvesteringar, löpande priser, mnkr 2000","Fasta bruttoinvesteringar, löpande priser, mnkr 2001","Fasta bruttoinvesteringar, löpande priser, mnkr 2002","Fasta bruttoinvesteringar, löpande priser, mnkr 2003","Fasta bruttoinvesteringar, löpande priser, mnkr 2004","Fasta bruttoinvesteringar, löpande priser, mnkr 2005","Fasta bruttoinvesteringar, löpande priser, mnkr 2006","Fasta bruttoinvesteringar, löpande priser, mnkr 2007","Fasta bruttoinvesteringar, löpande priser, mnkr 2008","Fasta bruttoinvesteringar, löpande priser, mnkr 2009","Fasta bruttoinvesteringar, löpande priser, mnkr 2010","Fasta bruttoinvesteringar, löpande priser, mnkr 2011","Fasta bruttoinvesteringar, löpande priser, mnkr 2012","Fasta bruttoinvesteringar, löpande priser, mnkr 2013","Fasta bruttoinvesteringar, löpande priser, mnkr 2014","Fasta bruttoinvesteringar, löpande priser, mnkr 2015","Fasta bruttoinvesteringar, löpande priser, mnkr 2016","Fasta bruttoinvesteringar, löpande priser, mnkr 2017","Fasta bruttoinvesteringar, löpande priser, mnkr 2018","Fasta bruttoinvesteringar, löpande priser, mnkr 2019","Fasta bruttoinvesteringar, löpande priser, mnkr 2020","Fasta bruttoinvesteringar, löpande priser, mnkr 2021","Fasta bruttoinvesteringar, löpande priser, mnkr 2022","Fasta bruttoinvesteringar, löpande priser, mnkr 2023","Fasta bruttoinvesteringar, löpande priser, mnkr 2024"
"RIKS4 Sydsverige","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",12716,12949,13738,14733,13658,14743,17650,17897,16989,18315,23786,24674,26846,28121,27590,27714,28128,30513,34838,35392,36811,39527,40005,46052,45814
"RIKS5 Västsverige","hela ekonomin, totalt",101120,117674,117953,122370,121646,129723,146867,165019,169963,151711,166187,153766,165191,161999,182649,191124,209942,239969,239582,232449,232306,286574,306526,352654,340156
"RIKS5 Västsverige","A01-F43 varuproducenter",38682,47163,44512,44186,39210,44455,46374,53370,54865,55187,54618,53161,55759,55952,62599,60138,68309,80832,79342,56343,49717,86486,82979,114527,124092
"RIKS5 Västsverige","G45-T98 tjänsteproducenter",45135,51580,50849,55510,61483,63744,76626,86909,86103,66964,85425,75341,84781,82621,89634,97685,106031,117852,114211,126205,127785,139147,159117,164454,144774
"RIKS5 Västsverige","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"RIKS5 Västsverige","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",17303,18931,22592,22674,20953,21524,23867,24740,28995,29560,26144,25264,24651,23426,30416,33301,35602,41285,46029,49901,54804,60941,64430,73673,71290
"RIKS6 Norra mellansverige","hela ekonomin, totalt",35897,35851,38266,41368,44215,46345,50167,49515,53941,48212,49383,47888,44533,46178,44761,52124,54511,59674,68125,67730,66959,68919,78891,82794,100043
"RIKS6 Norra mellansverige","A01-F43 varuproducenter",17041,16514,18418,20018,20824,21690,22383,20056,23895,18070,18966,21654,19257,18748,16042,19368,19644,22387,27108,26203,25029,24714,25968,29239,32350
"RIKS6 Norra mellansverige","G45-T98 tjänsteproducenter",13503,13803,13841,15443,16626,18035,20254,22326,20815,19889,19554,18494,17078,17252,18779,21584,24215,25924,28821,28884,27137,28619,36222,34950,47150
"RIKS6 Norra mellansverige","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
