"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","män","P utbildningsväsendet","totalt",139998,140195,140209,139894,142227,140006,140202,140222,139920,142268
"00 Riket","män","P utbildningsväsendet","inrikes född",108059,107774,107476,107128,108831,108066,107781,107487,107147,108857
"00 Riket","män","P utbildningsväsendet","utrikes född",31940,32421,32732,32766,33396,31940,32421,32735,32774,33411
"00 Riket","män","Q enheter för vård och omsorg, socialtjänst","totalt",174055,178896,181526,184887,198189,174059,178898,181528,184889,198190
"00 Riket","män","Q enheter för vård och omsorg, socialtjänst","inrikes född",116086,116799,115531,115662,123575,116088,116799,115534,115664,123576
"00 Riket","män","Q enheter för vård och omsorg, socialtjänst","utrikes född",57969,62098,65996,69225,74614,57971,62099,65996,69225,74614
"00 Riket","män","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","totalt",91678,91965,96931,97988,98051,91756,92028,96983,98033,98092
"00 Riket","män","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","inrikes född",73962,73853,77545,77948,78111,74029,73908,77589,77983,78145
"00 Riket","män","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","utrikes född",17717,18113,19387,20042,19941,17727,18121,19395,20048,19947
"00 Riket","män","US uppgift saknas","totalt",33643,34089,33957,34926,5886,50114,48558,50297,52546,26519
"00 Riket","män","US uppgift saknas","inrikes född",25897,26175,26573,27503,4463,35182,33855,35650,37207,15667
"00 Riket","män","US uppgift saknas","utrikes född",7746,7914,7382,7424,1424,14933,14703,14647,15337,10852
"00 Riket","kvinnor","A-U+US Total","totalt",2420881,2451629,2532583,2568210,2570004,2429754,2459529,2541646,2577956,2581737
"00 Riket","kvinnor","A-U+US Total","inrikes född",1952659,1962484,2003428,2012802,2004458,1957497,1966500,2008255,2017913,2010565
"00 Riket","kvinnor","A-U+US Total","utrikes född",468221,489146,529155,555407,565547,472258,493030,533391,560043,571172
"00 Riket","kvinnor","A företag inom jordbruk, skogsbruk och fiske","totalt",24908,24845,24790,24490,24852,24908,24845,24790,24490,24852
"00 Riket","kvinnor","A företag inom jordbruk, skogsbruk och fiske","inrikes född",22760,22678,22564,22280,22513,22760,22678,22564,22280,22513
"00 Riket","kvinnor","A företag inom jordbruk, skogsbruk och fiske","utrikes född",2148,2166,2227,2210,2341,2148,2166,2227,2210,2341
"00 Riket","kvinnor","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","totalt",134018,136997,142751,144917,146716,134023,137000,142763,144926,146724
"00 Riket","kvinnor","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","inrikes född",110671,112388,115748,116206,116347,110675,112392,115755,116214,116351
"00 Riket","kvinnor","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","utrikes född",23346,24607,27003,28709,30370,23347,24607,27008,28713,30374
"00 Riket","kvinnor","D+E företag inom energi och miljö","totalt",13736,14338,15134,16351,17420,13736,14338,15134,16351,17420
"00 Riket","kvinnor","D+E företag inom energi och miljö","inrikes född",12499,13007,13677,14723,15634,12499,13007,13677,14723,15634
"00 Riket","kvinnor","D+E företag inom energi och miljö","utrikes född",1237,1330,1457,1628,1786,1237,1330,1457,1628,1786
"00 Riket","kvinnor","F byggindustri","totalt",36761,38036,40224,41839,40413,36761,38043,40228,41846,40416
"00 Riket","kvinnor","F byggindustri","inrikes född",30570,31354,32768,34064,33109,30570,31361,32774,34071,33112
"00 Riket","kvinnor","F byggindustri","utrikes född",6192,6682,7455,7774,7304,6192,6682,7455,7775,7304
