"region","näringsgren SNI 2007","kön","Antal 2019","Antal 2020","Antal 2021"
"1884 Nora","R+S+T+U kulturella och personliga tjänster m.m.","män",50,45,54
"1884 Nora","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",86,82,79
"1884 Nora","00 okänd verksamhet","män",27,36,30
"1884 Nora","00 okänd verksamhet","kvinnor",59,55,55
"1885 Lindesberg","A jordbruk, skogsbruk och fiske","män",327,324,341
"1885 Lindesberg","A jordbruk, skogsbruk och fiske","kvinnor",102,104,117
"1885 Lindesberg","B+C tillverkning och utvinning","män",2031,1967,2033
"1885 Lindesberg","B+C tillverkning och utvinning","kvinnor",611,584,600
"1885 Lindesberg","D+E energiförsörjning; miljöverksamhet","män",72,72,69
"1885 Lindesberg","D+E energiförsörjning; miljöverksamhet","kvinnor",17,18,19
"1885 Lindesberg","F byggverksamhet","män",692,709,670
"1885 Lindesberg","F byggverksamhet","kvinnor",56,61,59
"1885 Lindesberg","G handel","män",410,411,397
"1885 Lindesberg","G handel","kvinnor",320,314,327
"1885 Lindesberg","H transport och magasinering","män",270,230,229
"1885 Lindesberg","H transport och magasinering","kvinnor",58,50,49
"1885 Lindesberg","I hotell- och restaurangverksamhet","män",88,75,80
"1885 Lindesberg","I hotell- och restaurangverksamhet","kvinnor",91,75,69
"1885 Lindesberg","J information och kommunikation","män",30,25,34
"1885 Lindesberg","J information och kommunikation","kvinnor",12,17,15
"1885 Lindesberg","K finans- och försäkringsverksamhet","män",30,28,26
"1885 Lindesberg","K finans- och försäkringsverksamhet","kvinnor",42,36,37
"1885 Lindesberg","L fastighetsverksamhet","män",83,87,86
"1885 Lindesberg","L fastighetsverksamhet","kvinnor",35,44,47
"1885 Lindesberg","M+N företagstjänster","män",237,243,240
"1885 Lindesberg","M+N företagstjänster","kvinnor",198,182,195
"1885 Lindesberg","O offentlig förvaltning och försvar","män",227,244,247
"1885 Lindesberg","O offentlig förvaltning och försvar","kvinnor",435,431,431
"1885 Lindesberg","P utbildning ","män",405,363,346
"1885 Lindesberg","P utbildning ","kvinnor",1028,975,957
"1885 Lindesberg","Q vård och omsorg; sociala tjänster","män",420,413,408
"1885 Lindesberg","Q vård och omsorg; sociala tjänster","kvinnor",1800,1783,1809
"1885 Lindesberg","R+S+T+U kulturella och personliga tjänster m.m.","män",134,127,123
"1885 Lindesberg","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",194,187,188
"1885 Lindesberg","00 okänd verksamhet","män",62,63,55
"1885 Lindesberg","00 okänd verksamhet","kvinnor",79,79,71
