"region","näringsgren SNI 2007","kön","Antal 2019","Antal 2020","Antal 2021"
"1814 Lekeberg","K finans- och försäkringsverksamhet","kvinnor",20,19,19
"1814 Lekeberg","L fastighetsverksamhet","män",14,16,14
"1814 Lekeberg","L fastighetsverksamhet","kvinnor",13,14,19
"1814 Lekeberg","M+N företagstjänster","män",76,66,73
"1814 Lekeberg","M+N företagstjänster","kvinnor",58,41,45
"1814 Lekeberg","O offentlig förvaltning och försvar","män",39,40,47
"1814 Lekeberg","O offentlig förvaltning och försvar","kvinnor",76,84,83
"1814 Lekeberg","P utbildning ","män",69,66,75
"1814 Lekeberg","P utbildning ","kvinnor",278,277,267
"1814 Lekeberg","Q vård och omsorg; sociala tjänster","män",118,133,122
"1814 Lekeberg","Q vård och omsorg; sociala tjänster","kvinnor",455,472,461
"1814 Lekeberg","R+S+T+U kulturella och personliga tjänster m.m.","män",38,29,32
"1814 Lekeberg","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",61,50,59
"1814 Lekeberg","00 okänd verksamhet","män",28,24,29
"1814 Lekeberg","00 okänd verksamhet","kvinnor",50,54,50
"1860 Laxå","A jordbruk, skogsbruk och fiske","män",85,81,85
"1860 Laxå","A jordbruk, skogsbruk och fiske","kvinnor",40,37,39
"1860 Laxå","B+C tillverkning och utvinning","män",702,675,684
"1860 Laxå","B+C tillverkning och utvinning","kvinnor",154,152,151
"1860 Laxå","D+E energiförsörjning; miljöverksamhet","män",15,14,13
"1860 Laxå","D+E energiförsörjning; miljöverksamhet","kvinnor",4,3,2
"1860 Laxå","F byggverksamhet","män",106,98,94
"1860 Laxå","F byggverksamhet","kvinnor",10,8,8
"1860 Laxå","G handel","män",123,139,148
"1860 Laxå","G handel","kvinnor",103,97,107
"1860 Laxå","H transport och magasinering","män",34,28,31
"1860 Laxå","H transport och magasinering","kvinnor",5,1,1
"1860 Laxå","I hotell- och restaurangverksamhet","män",30,31,28
"1860 Laxå","I hotell- och restaurangverksamhet","kvinnor",34,30,31
"1860 Laxå","J information och kommunikation","män",6,5,7
"1860 Laxå","J information och kommunikation","kvinnor",1,1,0
"1860 Laxå","K finans- och försäkringsverksamhet","män",0,0,0
"1860 Laxå","K finans- och försäkringsverksamhet","kvinnor",0,0,0
"1860 Laxå","L fastighetsverksamhet","män",27,27,30
"1860 Laxå","L fastighetsverksamhet","kvinnor",9,8,10
"1860 Laxå","M+N företagstjänster","män",55,59,67
"1860 Laxå","M+N företagstjänster","kvinnor",54,48,48
"1860 Laxå","O offentlig förvaltning och försvar","män",32,32,19
"1860 Laxå","O offentlig förvaltning och försvar","kvinnor",53,67,54
"1860 Laxå","P utbildning ","män",37,35,37
"1860 Laxå","P utbildning ","kvinnor",160,157,160
"1860 Laxå","Q vård och omsorg; sociala tjänster","män",57,68,67
"1860 Laxå","Q vård och omsorg; sociala tjänster","kvinnor",334,288,287
"1860 Laxå","R+S+T+U kulturella och personliga tjänster m.m.","män",27,31,29
"1860 Laxå","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",47,48,44
"1860 Laxå","00 okänd verksamhet","män",29,25,34
"1860 Laxå","00 okänd verksamhet","kvinnor",43,41,40
"1861 Hallsberg","A jordbruk, skogsbruk och fiske","män",201,183,171
"1861 Hallsberg","A jordbruk, skogsbruk och fiske","kvinnor",56,56,47
"1861 Hallsberg","B+C tillverkning och utvinning","män",1019,1013,1041
"1861 Hallsberg","B+C tillverkning och utvinning","kvinnor",311,312,346
"1861 Hallsberg","D+E energiförsörjning; miljöverksamhet","män",52,57,67
"1861 Hallsberg","D+E energiförsörjning; miljöverksamhet","kvinnor",8,7,10
"1861 Hallsberg","F byggverksamhet","män",573,566,549
"1861 Hallsberg","F byggverksamhet","kvinnor",54,57,57
"1861 Hallsberg","G handel","män",840,820,889
"1861 Hallsberg","G handel","kvinnor",508,530,586
"1861 Hallsberg","H transport och magasinering","män",837,840,837
"1861 Hallsberg","H transport och magasinering","kvinnor",398,408,407
"1861 Hallsberg","I hotell- och restaurangverksamhet","män",46,45,46
"1861 Hallsberg","I hotell- och restaurangverksamhet","kvinnor",48,56,59
"1861 Hallsberg","J information och kommunikation","män",24,20,19
"1861 Hallsberg","J information och kommunikation","kvinnor",12,9,9
"1861 Hallsberg","K finans- och försäkringsverksamhet","män",7,8,8
"1861 Hallsberg","K finans- och försäkringsverksamhet","kvinnor",15,9,7
"1861 Hallsberg","L fastighetsverksamhet","män",75,80,66
"1861 Hallsberg","L fastighetsverksamhet","kvinnor",52,47,42
"1861 Hallsberg","M+N företagstjänster","män",158,167,185
"1861 Hallsberg","M+N företagstjänster","kvinnor",135,143,165
"1861 Hallsberg","O offentlig förvaltning och försvar","män",65,55,60
"1861 Hallsberg","O offentlig förvaltning och försvar","kvinnor",176,179,187
"1861 Hallsberg","P utbildning ","män",282,283,272
"1861 Hallsberg","P utbildning ","kvinnor",732,727,732
"1861 Hallsberg","Q vård och omsorg; sociala tjänster","män",122,129,139
"1861 Hallsberg","Q vård och omsorg; sociala tjänster","kvinnor",807,773,788
"1861 Hallsberg","R+S+T+U kulturella och personliga tjänster m.m.","män",64,66,59
"1861 Hallsberg","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",144,102,100
"1861 Hallsberg","00 okänd verksamhet","män",56,45,44
"1861 Hallsberg","00 okänd verksamhet","kvinnor",101,91,98
"1862 Degerfors","A jordbruk, skogsbruk och fiske","män",79,79,77
"1862 Degerfors","A jordbruk, skogsbruk och fiske","kvinnor",20,20,18
"1862 Degerfors","B+C tillverkning och utvinning","män",760,719,736
"1862 Degerfors","B+C tillverkning och utvinning","kvinnor",157,152,158
"1862 Degerfors","D+E energiförsörjning; miljöverksamhet","män",18,18,18
"1862 Degerfors","D+E energiförsörjning; miljöverksamhet","kvinnor",5,5,5
"1862 Degerfors","F byggverksamhet","män",156,148,163
"1862 Degerfors","F byggverksamhet","kvinnor",11,17,24
"1862 Degerfors","G handel","män",78,80,72
"1862 Degerfors","G handel","kvinnor",97,90,91
"1862 Degerfors","H transport och magasinering","män",70,54,54
"1862 Degerfors","H transport och magasinering","kvinnor",10,15,8
"1862 Degerfors","I hotell- och restaurangverksamhet","män",29,25,29
"1862 Degerfors","I hotell- och restaurangverksamhet","kvinnor",43,32,28
"1862 Degerfors","J information och kommunikation","män",8,8,9
"1862 Degerfors","J information och kommunikation","kvinnor",4,4,4
"1862 Degerfors","K finans- och försäkringsverksamhet","män",0,0,0
"1862 Degerfors","K finans- och försäkringsverksamhet","kvinnor",0,0,0
"1862 Degerfors","L fastighetsverksamhet","män",37,23,19
"1862 Degerfors","L fastighetsverksamhet","kvinnor",14,13,13
"1862 Degerfors","M+N företagstjänster","män",96,93,95
"1862 Degerfors","M+N företagstjänster","kvinnor",46,57,66
"1862 Degerfors","O offentlig förvaltning och försvar","män",27,24,28
"1862 Degerfors","O offentlig förvaltning och försvar","kvinnor",49,51,45
"1862 Degerfors","P utbildning ","män",72,61,53
"1862 Degerfors","P utbildning ","kvinnor",317,295,253
"1862 Degerfors","Q vård och omsorg; sociala tjänster","män",91,104,99
"1862 Degerfors","Q vård och omsorg; sociala tjänster","kvinnor",510,494,484
"1862 Degerfors","R+S+T+U kulturella och personliga tjänster m.m.","män",70,62,71
"1862 Degerfors","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",68,70,74
"1862 Degerfors","00 okänd verksamhet","män",51,53,46
"1862 Degerfors","00 okänd verksamhet","kvinnor",48,46,38
"1863 Hällefors","A jordbruk, skogsbruk och fiske","män",64,64,62
"1863 Hällefors","A jordbruk, skogsbruk och fiske","kvinnor",21,19,21
"1863 Hällefors","B+C tillverkning och utvinning","män",607,575,601
"1863 Hällefors","B+C tillverkning och utvinning","kvinnor",113,105,114
"1863 Hällefors","D+E energiförsörjning; miljöverksamhet","män",20,22,21
"1863 Hällefors","D+E energiförsörjning; miljöverksamhet","kvinnor",0,0,1
"1863 Hällefors","F byggverksamhet","män",180,183,190
"1863 Hällefors","F byggverksamhet","kvinnor",15,17,18
"1863 Hällefors","G handel","män",62,68,64
"1863 Hällefors","G handel","kvinnor",86,91,81
"1863 Hällefors","H transport och magasinering","män",65,70,61
"1863 Hällefors","H transport och magasinering","kvinnor",12,13,14
"1863 Hällefors","I hotell- och restaurangverksamhet","män",71,72,84
"1863 Hällefors","I hotell- och restaurangverksamhet","kvinnor",129,140,132
"1863 Hällefors","J information och kommunikation","män",7,9,14
"1863 Hällefors","J information och kommunikation","kvinnor",6,7,9
"1863 Hällefors","K finans- och försäkringsverksamhet","män",2,1,1
"1863 Hällefors","K finans- och försäkringsverksamhet","kvinnor",4,4,4
"1863 Hällefors","L fastighetsverksamhet","män",27,19,18
"1863 Hällefors","L fastighetsverksamhet","kvinnor",15,11,9
"1863 Hällefors","M+N företagstjänster","män",55,43,50
"1863 Hällefors","M+N företagstjänster","kvinnor",54,57,56
"1863 Hällefors","O offentlig förvaltning och försvar","män",22,24,25
"1863 Hällefors","O offentlig förvaltning och försvar","kvinnor",40,42,36
"1863 Hällefors","P utbildning ","män",101,108,102
"1863 Hällefors","P utbildning ","kvinnor",286,276,268
"1863 Hällefors","Q vård och omsorg; sociala tjänster","män",112,106,110
"1863 Hällefors","Q vård och omsorg; sociala tjänster","kvinnor",442,425,412
"1863 Hällefors","R+S+T+U kulturella och personliga tjänster m.m.","män",34,36,38
"1863 Hällefors","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",53,48,50
"1863 Hällefors","00 okänd verksamhet","män",32,41,37
"1863 Hällefors","00 okänd verksamhet","kvinnor",53,44,38
"1864 Ljusnarsberg","A jordbruk, skogsbruk och fiske","män",33,28,29
"1864 Ljusnarsberg","A jordbruk, skogsbruk och fiske","kvinnor",14,11,10
"1864 Ljusnarsberg","B+C tillverkning och utvinning","män",392,382,368
"1864 Ljusnarsberg","B+C tillverkning och utvinning","kvinnor",121,127,132
"1864 Ljusnarsberg","D+E energiförsörjning; miljöverksamhet","män",21,16,17
"1864 Ljusnarsberg","D+E energiförsörjning; miljöverksamhet","kvinnor",1,1,1
"1864 Ljusnarsberg","F byggverksamhet","män",104,96,82
"1864 Ljusnarsberg","F byggverksamhet","kvinnor",9,11,8
"1864 Ljusnarsberg","G handel","män",54,53,52
"1864 Ljusnarsberg","G handel","kvinnor",54,54,52
"1864 Ljusnarsberg","H transport och magasinering","män",25,17,6
"1864 Ljusnarsberg","H transport och magasinering","kvinnor",6,3,1
"1864 Ljusnarsberg","I hotell- och restaurangverksamhet","män",15,12,16
"1864 Ljusnarsberg","I hotell- och restaurangverksamhet","kvinnor",30,25,29
"1864 Ljusnarsberg","J information och kommunikation","män",6,5,7
"1864 Ljusnarsberg","J information och kommunikation","kvinnor",3,3,4
"1864 Ljusnarsberg","K finans- och försäkringsverksamhet","män",3,3,1
"1864 Ljusnarsberg","K finans- och försäkringsverksamhet","kvinnor",6,8,2
"1864 Ljusnarsberg","L fastighetsverksamhet","män",3,6,6
"1864 Ljusnarsberg","L fastighetsverksamhet","kvinnor",6,5,7
"1864 Ljusnarsberg","M+N företagstjänster","män",44,40,40
"1864 Ljusnarsberg","M+N företagstjänster","kvinnor",21,23,26
"1864 Ljusnarsberg","O offentlig förvaltning och försvar","män",19,20,21
"1864 Ljusnarsberg","O offentlig förvaltning och försvar","kvinnor",36,33,33
"1864 Ljusnarsberg","P utbildning ","män",49,58,57
"1864 Ljusnarsberg","P utbildning ","kvinnor",126,120,129
"1864 Ljusnarsberg","Q vård och omsorg; sociala tjänster","män",80,59,68
"1864 Ljusnarsberg","Q vård och omsorg; sociala tjänster","kvinnor",360,320,314
"1864 Ljusnarsberg","R+S+T+U kulturella och personliga tjänster m.m.","män",28,28,31
"1864 Ljusnarsberg","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",32,26,33
"1864 Ljusnarsberg","00 okänd verksamhet","män",24,17,21
"1864 Ljusnarsberg","00 okänd verksamhet","kvinnor",24,21,22
"1880 Örebro","A jordbruk, skogsbruk och fiske","män",651,670,643
"1880 Örebro","A jordbruk, skogsbruk och fiske","kvinnor",206,229,221
"1880 Örebro","B+C tillverkning och utvinning","män",4944,4740,4778
"1880 Örebro","B+C tillverkning och utvinning","kvinnor",1343,1262,1320
"1880 Örebro","D+E energiförsörjning; miljöverksamhet","män",363,367,411
"1880 Örebro","D+E energiförsörjning; miljöverksamhet","kvinnor",155,125,139
"1880 Örebro","F byggverksamhet","män",5498,5424,5624
"1880 Örebro","F byggverksamhet","kvinnor",577,543,559
"1880 Örebro","G handel","män",6112,6160,6348
"1880 Örebro","G handel","kvinnor",4107,3953,4100
"1880 Örebro","H transport och magasinering","män",3314,3312,3490
"1880 Örebro","H transport och magasinering","kvinnor",830,801,861
"1880 Örebro","I hotell- och restaurangverksamhet","män",1452,1292,1341
"1880 Örebro","I hotell- och restaurangverksamhet","kvinnor",1522,1269,1375
"1880 Örebro","J information och kommunikation","män",1965,1932,2018
