"län","Lönesumma, miljarder kr 1998","Lönesumma, miljarder kr 1999","Lönesumma, miljarder kr 2000","Lönesumma, miljarder kr 2001","Lönesumma, miljarder kr 2002","Lönesumma, miljarder kr 2003","Lönesumma, miljarder kr 2004","Lönesumma, miljarder kr 2005","Lönesumma, miljarder kr 2006","Lönesumma, miljarder kr 2007","Lönesumma, miljarder kr 2008","Lönesumma, miljarder kr 2009","Lönesumma, miljarder kr 2010","Lönesumma, miljarder kr 2011","Lönesumma, miljarder kr 2012","Lönesumma, miljarder kr 2013","Lönesumma, miljarder kr 2014","Lönesumma, miljarder kr 2015","Lönesumma, miljarder kr 2016","Lönesumma, miljarder kr 2017","Lönesumma, miljarder kr 2018","Lönesumma, miljarder kr 2019","Lönesumma, miljarder kr 2020","Lönesumma, miljarder kr 2021","Lönesumma, miljarder kr 2022","Lönesumma, miljarder kr 2023","Lönesumma, miljarder kr 2024","Preliminär A-skatt, miljarder kr 1998","Preliminär A-skatt, miljarder kr 1999","Preliminär A-skatt, miljarder kr 2000","Preliminär A-skatt, miljarder kr 2001","Preliminär A-skatt, miljarder kr 2002","Preliminär A-skatt, miljarder kr 2003","Preliminär A-skatt, miljarder kr 2004","Preliminär A-skatt, miljarder kr 2005","Preliminär A-skatt, miljarder kr 2006","Preliminär A-skatt, miljarder kr 2007","Preliminär A-skatt, miljarder kr 2008","Preliminär A-skatt, miljarder kr 2009","Preliminär A-skatt, miljarder kr 2010","Preliminär A-skatt, miljarder kr 2011","Preliminär A-skatt, miljarder kr 2012","Preliminär A-skatt, miljarder kr 2013","Preliminär A-skatt, miljarder kr 2014","Preliminär A-skatt, miljarder kr 2015","Preliminär A-skatt, miljarder kr 2016","Preliminär A-skatt, miljarder kr 2017","Preliminär A-skatt, miljarder kr 2018","Preliminär A-skatt, miljarder kr 2019","Preliminär A-skatt, miljarder kr 2020","Preliminär A-skatt, miljarder kr 2021","Preliminär A-skatt, miljarder kr 2022","Preliminär A-skatt, miljarder kr 2023","Preliminär A-skatt, miljarder kr 2024","Arbetsställen 1998","Arbetsställen 1999","Arbetsställen 2000","Arbetsställen 2001","Arbetsställen 2002","Arbetsställen 2003","Arbetsställen 2004","Arbetsställen 2005","Arbetsställen 2006","Arbetsställen 2007","Arbetsställen 2008","Arbetsställen 2009","Arbetsställen 2010","Arbetsställen 2011","Arbetsställen 2012","Arbetsställen 2013","Arbetsställen 2014","Arbetsställen 2015","Arbetsställen 2016","Arbetsställen 2017","Arbetsställen 2018","Arbetsställen 2019","Arbetsställen 2020","Arbetsställen 2021","Arbetsställen 2022","Arbetsställen 2023","Arbetsställen 2024","ÅrsAgi/KU 1998","ÅrsAgi/KU 1999","ÅrsAgi/KU 2000","ÅrsAgi/KU 2001","ÅrsAgi/KU 2002","ÅrsAgi/KU 2003","ÅrsAgi/KU 2004","ÅrsAgi/KU 2005","ÅrsAgi/KU 2006","ÅrsAgi/KU 2007","ÅrsAgi/KU 2008","ÅrsAgi/KU 2009","ÅrsAgi/KU 2010","ÅrsAgi/KU 2011","ÅrsAgi/KU 2012","ÅrsAgi/KU 2013","ÅrsAgi/KU 2014","ÅrsAgi/KU 2015","ÅrsAgi/KU 2016","ÅrsAgi/KU 2017","ÅrsAgi/KU 2018","ÅrsAgi/KU 2019","ÅrsAgi/KU 2020","ÅrsAgi/KU 2021","ÅrsAgi/KU 2022","ÅrsAgi/KU 2023","ÅrsAgi/KU 2024"
"00 Riket",766.0,808.8,862.3,913.8,944.3,966.5,990.3,1028.2,1084.9,1162.9,1232.2,1235.4,1274.5,1348.0,1399.4,1439.2,1493.0,1559.0,1635.7,1714.9,1797.1,1865.9,1883.8,1996.2,2127.4,2237.5,2315.3,287.4,299.5,314.7,324.8,323.4,333.1,344.7,354.9,370.5,364.1,375.3,359.4,365.8,387.8,400.9,413.1,422.5,446.4,476.6,501.9,527.4,543.0,542.2,575.8,608.1,626.0,634.6,349421,356148,367249,367852,365375,365983,367608,372406,376034,384696,389846,397365,411536,429945,440254,448837,455240,465002,473381,481346,490214,497410,498494,510680,540398,553946,513928,6884309,7038967,7241240,7243474,7221815,7065115,6960286,6991101,7184629,7421544,7412719,7114653,7268492,7458497,7440999,7480994,7605338,7809343,8037288,8207248,8338848,8052898,7624634,7879697,8439770,8339969,8229980
"18 Örebro län",22.3,23.2,24.5,25.5,26.4,27.0,27.6,28.5,29.9,32.0,33.7,33.6,34.4,36.4,37.8,38.5,39.9,41.5,43.4,45.7,47.9,49.4,50.2,52.9,55.7,58.6,60.7,8.4,8.6,9.0,9.0,9.0,9.2,9.4,9.6,9.9,9.6,9.9,9.4,9.4,10.0,10.4,10.6,10.9,11.4,12.2,12.9,13.6,13.8,13.9,14.6,15.2,15.7,16.0,10016,10290,10677,10607,10527,10507,10458,10444,10494,10687,10813,10905,11094,11372,11436,11570,11663,11689,11847,11977,12144,12320,12402,12705,13237,13440,12976,200850,205346,210335,208364,211848,206034,203213,201062,205135,214595,212620,202783,208868,212509,208660,208251,212333,217072,224048,228788,234279,223466,214176,220569,233299,231101,228972
