"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"01 Stockholms län","J information och kommunikation","män",54531,53503,54737,56546,57066,58491,59704,60491,69332,70470,72226
"01 Stockholms län","J information och kommunikation","kvinnor",26897,26335,26378,26766,26880,27036,27522,27990,31014,31569,32709
"01 Stockholms län","K finans- och försäkringsverksamhet","män",24041,23580,24292,24980,25223,25598,26144,26774,27541,28579,29427
"01 Stockholms län","K finans- och försäkringsverksamhet","kvinnor",24873,24176,24442,24574,24693,24802,24899,25140,25292,25905,26293
"01 Stockholms län","L fastighetsverksamhet","män",9957,9779,9800,10137,10409,10850,10914,11314,11632,11800,12027
"01 Stockholms län","L fastighetsverksamhet","kvinnor",6729,6725,6730,6945,7417,7605,7818,8165,8369,8727,9030
"01 Stockholms län","M+N företagstjänster","män",86235,85440,89870,94648,97962,100150,101724,105575,107824,111681,113373
"01 Stockholms län","M+N företagstjänster","kvinnor",71866,70469,74319,77928,81486,82550,84146,87081,90615,93786,95318
"01 Stockholms län","O offentlig förvaltning och försvar","män",27955,28821,29305,30119,31226,31569,31890,32208,33181,34082,34749
"01 Stockholms län","O offentlig förvaltning och försvar","kvinnor",35679,36232,37259,37840,38813,39917,40572,41064,42382,44371,45425
"01 Stockholms län","P utbildning ","män",26653,27177,28255,28406,29574,30451,31058,32107,33230,33829,34405
"01 Stockholms län","P utbildning ","kvinnor",73824,74575,76942,78425,80050,81228,82305,84115,86443,87543,89306
"01 Stockholms län","Q vård och omsorg; sociala tjänster","män",25737,26321,27314,28132,29512,30670,31848,33331,35014,35305,35167
"01 Stockholms län","Q vård och omsorg; sociala tjänster","kvinnor",101092,101963,105141,106240,109472,111127,113795,116327,118569,118260,117575
"01 Stockholms län","R+S+T+U kulturella och personliga tjänster m.m.","män",22731,23160,23986,24536,25378,26096,26289,26589,27005,27522,27678
"01 Stockholms län","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",29800,30540,31752,32668,34110,35003,35920,36515,36989,37552,37993
"01 Stockholms län","00 okänd verksamhet","män",3547,3021,3087,3226,3108,3200,3240,3186,2830,3103,2709
"01 Stockholms län","00 okänd verksamhet","kvinnor",4928,3950,4059,3979,4097,4394,4213,4314,4048,4003,3629
"03 Uppsala län","A jordbruk, skogsbruk och fiske","män",2141,2175,2219,2584,2659,2757,2588,2543,2497,2483,2450
"03 Uppsala län","A jordbruk, skogsbruk och fiske","kvinnor",495,515,537,666,763,802,780,818,758,819,769
